word,hiragana,katakana,combined_rank,small_talk_rank,consultation_rank,meeting_rank,class_rank,outdoors_rank,school_rank,transportation_rank,public_commercial_rank,home_rank,indoors_rank,workplace_rank,male_rank,female_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,BCCWJ,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MIGAKU_NOVELS,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,HINGSTON,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JLAB,JPDB,KOKUGOJITEN,MALTESAA_CSJ,MALTESAA_CSJ_DOKWA_GAKKAI,MALTESAA_CSJ_DOKWA_MOGI,MALTESAA_CSJ_DOKWA_ROUDOKU,MALTESAA_CSJ_DOKWA_SAIRO,MALTESAA_CSJ_DOKWA_SONOTA,MALTESAA_CSJ_TAIKA_JIYU,MALTESAA_CSJ_TAIKA_KADAI,MALTESAA_CSJ_TAIKA_MOGI,MALTESAA_NWJC,MONODICTS,NAROU,NETFLIX,NIER,NOVELS,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
です,です,デス,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,5,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,5,5
ない,ない,ナイ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,5,5
為る,する,スル,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,2,4,1,5,5,5,2,5,5,5,5,5,5,5,5,5,5,3,5,5,5,2,5,5,5,1
から,から,カラ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,2,5,5,5
ああ,ああ,アア,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,1,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,4,5,5,5,5,3,4,4,5,5,4,5,5,5,5,5,3,4,5,5,5,4,2,5,5
あっ,あっ,アッ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4,4,1,5,5,1,5,4,5,5,3,5,5,5,5,5,5,5,1,2,1,5,5,5,3,5,4,5,5,4,5,5,5,5,5,2,1,5,5,5,1,2,5,5
はい,はい,ハイ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,1,4,4,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,4,1,3,5,5,5,5,5,5,5,5,4,4,5,5,5,5,4,4,1,5,5,5,1,2,5,5
あの,あの,アノ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,1,2,4,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,1,2,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,4,1,5,5,5,1,4,5,5
良い,よい,ヨイ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,1,4,4,5,5,1,1,5,5,2,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5
けれど,けれど,ケレド,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,1,5,5,4,4,4,5,5,5,5,5,1,4,4,4,5,4,4,5,1,1,5,4,5,1,3,5,5,5,5,5,5,5,5,5,5,3,1,4,4,5,1,2,5,5
な,な,ナ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,1,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,5,5
其れ,それ,ソレ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,1,5,5,5,2,5,5,5,5,5,5,5,5,5,5,2,5,5,5,2,5,5,5,1
を,を,ヲ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,5,5
ます,ます,マス,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,2,2,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,5,5
もう,もう,モウ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5
此れ,これ,コレ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,1
さ,さ,サ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
まあ,まあ,マア,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,5,5,5,5,3,1,1,1,1,1,1,1,1,1,5,3,5,5,5,5,5,2,5,5
遣る,やる,ヤル,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,1,5,5,5,2,5,5,5,3,5,5,5,5,5,5,3,1,1,5,3,1,5,5,3,5,4,5,5,5,5,5,5,5,5,5,5,4,5,2,5,2,5,2,5,1
成る,なる,ナル,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,1,5,5,1,2,2,5,5,4,5,5,5,2,3,3,3,2,2,3,3,2,2,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,4,5,3,2,3
一寸,ちょっと,チョット,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,2,5,5,3,5,5,5,2,2,5,5,2,2,2,5,1,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,2,5,5,5,3,5,3,5,1
いや,いや,イヤ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,1,3,4,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,1,3,1,5,5,5,4,4,3,1,4,4,3,5,5,5,4,4,1,5,5,5,1,2,5,5
さん,さん,サン,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
えっ,えっ,エッ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,4,3,5,5,5,1,5,4,5,5,4,5,5,5,5,5,5,3,1,1,4,5,5,5,2,3,3,4,3,3,4,3,4,4,4,1,1,5,4,5,1,2,5,5
ちゃう,ちゃう,チャウ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,1,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,1,2,4,1,1,2,4,5,4,3,5,5,5,5,5,5,5,5,5,5,3,1,5,5,5,1,3,5,5
彼れ,あれ,アレ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,5,5,5,5,4,5,4,5,4,4,5,5,5,5,5,4,5,5,5,5,5,2,5,5
みたい,みたい,ミタイ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,2,5,5,5,4,5,5,5,5,5,5,2,5,5,5,5,5,3,5,5
其の,その,ソノ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,1,5,5,5,5,5,5,5,3,5,5,5,4,4,5,5,5,5,2,2,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,3,5,2,5,1
こう,こう,コウ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5
つう,つう,ツウ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,1,5,5,1,4,5,5,5,2,5,5,4,5,5,5,3,1,1,2,1,1,1,4,4,4,5,5,5,5,4,4,5,5,5,5,5,4,1,4,4,5,3,2,1,4
