word,rank,freq,pmw
うん,1,13961,50744.945
だ,2,13245,48142.4537
ね,3,7317,26595.5707
て,4,6383,23200.7008
の,5,6318,22964.4411
た,6,6164,22404.6874
そう,7,6139,22313.8183
か,8,4841,17595.8942
の,9,4310,15665.8343
で,10,4176,15178.7759
よ,11,4149,15080.6372
と,12,4081,14833.4733
が,13,4079,14826.2037
に,14,4077,14818.9342
は,15,3921,14251.911
も,16,3919,14244.6414
何,17,3835,13939.3212
です,18,3667,13328.6808
てる,19,3610,13121.4993
,20,3412,12401.8159
って,21,3387,12310.9468
言う,22,3356,12198.2691
ない,23,2923,10624.4162
為る,24,2888,10497.1994
か,25,2616,9508.5435
から,26,2462,8948.7898
あっ,27,2318,8425.3837
はい,28,2317,8421.749
良い,29,2276,8272.7236
無い,30,2180,7923.7863
で,31,2142,7785.6652
ああ,32,2091,7600.2922
けれど,33,1821,6618.9059
あの,34,1782,6477.1501
な,35,1708,6208.1775
其れ,36,1653,6008.2655
の,37,1650,5997.3612
有る,38,1576,5728.3886
ます,39,1530,5561.1894
を,40,1523,5535.7461
もう,41,1384,5030.5138
此れ,42,1361,4946.9143
まあ,43,1342,4877.8537
さ,44,1311,4765.176
行く,45,1278,4645.2288
遣る,46,1250,4543.4554
御,47,1239,4503.473
一寸,48,1222,4441.682
思う,49,1195,4343.5434
来る,50,983,3572.9733
成る,51,958,3482.1042
ちゃう,52,900,3271.2879
凄い,53,887,3224.036
いや,54,863,3136.8016
と,55,827,3005.9501
こう,56,825,2998.6806
事,57,808,2936.8896
みたい,58,796,2893.2724
さん,59,781,2838.7509
其の,60,756,2747.8818
つう,61,714,2595.2217
一,62,711,2584.3174
本当,63,707,2569.7784
えっ,64,705,2562.5089
ええ,65,698,2537.0655
ちゃん,66,693,2518.8917
人,67,675,2453.4659
食べる,68,652,2369.8663
居る,69,649,2358.9621
彼れ,70,632,2297.1711
から,71,619,2249.9191
分かる,72,612,2224.4758
ふん,73,596,2166.3195
見る,74,564,2050.0071
私,75,560,2035.468
矢張り,76,558,2028.1985
此の,77,555,2017.2942
くらい,78,552,2006.3899
へえ,79,543,1973.677
今,80,531,1930.0599
じゃん,81,523,1900.9817
ん,82,499,1813.7474
時,83,490,1781.0345
,84,466,1693.8002
どう,84,466,1693.8002
方,86,438,1592.0268
後,87,437,1588.392
れる,88,435,1581.1225
二,89,426,1548.4096
此処,90,418,1519.3315
感じ,91,416,1512.062
し,92,400,1453.9057
えーと,92,400,1453.9057
違う,94,399,1450.271
其処,95,395,1435.7319
ば,96,389,1413.9233
多分,96,389,1413.9233
その,98,379,1377.5757
十,99,370,1344.8628
たい,100,365,1326.689
だけ,101,347,1261.2632
時,102,343,1246.7242
美味しい,103,334,1214.0113
出来る,104,332,1206.7418
結構,104,332,1206.7418
全然,106,323,1174.0289
ず,107,318,1155.8551
君,108,315,1144.9508
入る,109,309,1123.1422
ほら,110,305,1108.6031
話,111,304,1104.9684
皆,112,303,1101.3336
大丈夫,112,303,1101.3336
出る,114,301,1094.0641
使う,115,290,1054.0817
彼の,116,289,1050.4469
作る,116,289,1050.4469
持つ,118,285,1035.9078
駄目,119,282,1025.0035
三,120,280,1017.734
前,121,274,995.9254
け,122,272,988.6559
書く,122,272,988.6559
奴,124,270,981.3864
まで,125,269,977.7516
たり,126,266,966.8473
俺,127,261,948.6735
もの,128,255,926.8649
物,129,246,894.152
此方,130,243,883.2477
買う,131,241,875.9782
取る,132,238,865.0739
達,133,233,846.9001
そう,133,233,846.9001
入れる,135,232,843.2653
訳,136,227,825.0915
家,137,224,814.1872
未だ,138,222,806.9177
何処,139,220,799.6482
呉れる,140,216,785.1091
様,141,213,774.2048
