word,rank,freq,pmw
だ,1,3055,48266.8183
うん,2,2911,45991.7212
の,3,1538,24299.3017
,4,1495,23619.9324
ね,5,1487,23493.5381
て,6,1303,20586.4695
の,7,1282,20254.6845
は,8,1258,19875.5016
た,9,1219,19259.3295
に,10,1049,16573.4509
が,11,1043,16478.6552
と,12,997,15751.888
で,13,993,15688.6909
そう,14,985,15562.2966
か,15,942,14882.9273
も,16,917,14487.9451
よ,17,828,13081.8087
てる,18,823,13002.8123
為る,19,729,11517.6794
言う,20,716,11312.2887
って,21,700,11059.5001
ない,22,674,10648.7187
何,23,668,10553.923
か,24,654,10332.733
です,25,599,9463.7722
から,26,588,9289.9801
無い,27,565,8926.5965
あの,28,510,8057.6358
ああ,29,488,7710.0515
な,29,488,7710.0515
けれど,31,474,7488.8615
其れ,32,458,7236.0729
を,33,434,6856.8901
まあ,34,429,6777.8936
有る,35,417,6588.3022
で,36,385,6082.7251
あっ,37,373,5893.1336
此れ,38,343,5419.1551
行く,39,333,5261.1622
もう,40,318,5024.1729
はい,41,313,4945.1765
良い,41,313,4945.1765
の,43,304,4802.9829
遣る,44,290,4581.7929
ます,45,278,4392.2015
さ,46,276,4360.6029
思う,47,253,3997.2193
つう,48,249,3934.0222
と,49,234,3697.0329
事,50,233,3681.2336
成る,51,230,3633.8358
こう,52,217,3428.445
来る,53,208,3286.2515
彼れ,54,205,3238.8536
一寸,55,199,3144.0579
から,56,194,3065.0615
ん,57,188,2970.2657
其の,58,185,2922.8679
一,59,183,2891.2693
いや,60,172,2717.4772
俺,61,152,2401.4915
矢張り,62,151,2385.6922
見る,63,148,2338.2943
さん,64,147,2322.495
今,65,146,2306.6957
,66,145,2290.8965
居る,67,142,2243.4986
ちゃう,68,135,2132.9036
どう,69,134,2117.1043
凄い,70,128,2022.3086
みたい,71,126,1990.71
時,71,126,1990.71
人,73,125,1974.9107
分かる,73,125,1974.9107
御,75,118,1864.3157
くらい,75,118,1864.3157
此の,77,116,1832.7172
れる,78,114,1801.1186
方,79,113,1785.3193
えっ,80,112,1769.52
奴,80,112,1769.52
ええ,82,111,1753.7207
えーと,83,107,1690.5236
ふん,84,106,1674.7243
其処,85,104,1643.1257
何処,85,104,1643.1257
二,87,103,1627.3264
ば,88,101,1595.7279
や,88,101,1595.7279
出る,90,100,1579.9286
三,91,98,1548.33
違う,92,93,1469.3336
だけ,93,92,1453.5343
此処,94,89,1406.1364
様,95,87,1374.5379
飲む,95,87,1374.5379
し,97,86,1358.7386
後,97,86,1358.7386
出来る,97,86,1358.7386
け,100,85,1342.9393
先生,100,85,1342.9393
んー,100,85,1342.9393
多分,103,81,1279.7422
まで,103,81,1279.7422
入る,105,79,1248.1436
へえ,106,76,1200.7457
年,106,76,1200.7457
じゃん,108,74,1169.1472
本当,109,73,1153.3479
感じ,110,72,1137.5486
ず,111,71,1121.7493
書く,111,71,1121.7493
未だ,111,71,1121.7493
使う,114,69,1090.1507
十,115,68,1074.3514
月,116,67,1058.5522
会,116,67,1058.5522
前,118,66,1042.7529
結構,119,65,1026.9536
的,119,65,1026.9536
所,121,64,1011.1543
取る,122,63,995.355
その,123,62,979.5557
四,123,62,979.5557
所,125,60,947.9572
えー,125,60,947.9572
人,125,60,947.9572
もの,128,59,932.1579
作る,128,59,932.1579
知れる,128,59,932.1579
時間,131,58,916.3586
中,131,58,916.3586
皆,133,57,900.5593
五,133,57,900.5593
別,135,55,868.9607
たい,136,54,853.1614
全然,137,53,837.3622
物,137,53,837.3622
ほら,139,52,821.5629
そんな,139,52,821.5629
訳,139,52,821.5629
達,139,52,821.5629
六,139,52,821.5629
彼の,144,51,805.7636
つ,144,51,805.7636
あれ,144,51,805.7636
話,147,50,789.9643
知る,147,50,789.9643
自分,147,50,789.9643
貰う,150,49,774.165
回,151,48,758.3657
持つ,152,46,726.7672
食べる,153,45,710.9679
駄目,153,45,710.9679
二十,155,44,695.1686
全部,156,43,679.3693
出す,156,43,679.3693
せる,156,43,679.3693
そんな,159,41,647.7707
余り,159,41,647.7707
しか,159,41,647.7707
昔,159,41,647.7707
入れる,163,40,631.9714
一番,163,40,631.9714
要する,163,40,631.9714
てく,166,39,616.1721
たり,167,38,600.3729
此方,167,38,600.3729
彼処,167,38,600.3729
ずっと,167,38,600.3729
何,171,37,584.5736
日本,171,37,584.5736
おお,173,36,568.7743
こんな,173,36,568.7743
日,173,36,568.7743
三,173,36,568.7743
聞く,177,35,552.975
気,177,35,552.975
又,177,35,552.975
学校,177,35,552.975
八,181,34,537.1757
私,182,33,521.3764
ちゃんと,182,33,521.3764
食う,182,33,521.3764
買う,185,32,505.5771
成る程,185,32,505.5771
日,185,32,505.5771
時,188,31,489.7779
一緒,188,31,489.7779
僕,188,31,489.7779
多い,188,31,489.7779
万,188,31,489.7779
なんか,188,31,489.7779
例えば,188,31,489.7779
者,188,31,489.7779
円,196,30,473.9786
誰,196,30,473.9786
一応,196,30,473.9786
子供,196,30,473.9786
屋,196,30,473.9786
目,196,30,473.9786
が,196,30,473.9786
研究,196,30,473.9786
普通,204,29,458.1793
何時,204,29,458.1793
さっき,204,29,458.1793
大体,204,29,458.1793
時代,204,29,458.1793
コース,204,29,458.1793
データ,204,29,458.1793
呉れる,211,28,442.38
家,211,28,442.38
そう,211,28,442.38
高い,211,28,442.38
絶対,211,28,442.38
旨い,211,28,442.38
最初,211,28,442.38
中止,211,28,442.38
辺,219,27,426.5807
内,219,27,426.5807
あー,219,27,426.5807
金,219,27,426.5807
良く,223,26,410.7814
考える,223,26,410.7814
個,223,26,410.7814
物,223,26,410.7814
一,223,26,410.7814
今年,223,26,410.7814
室,223,26,410.7814
ちゃん,230,25,394.9821
頂く,230,25,394.9821
変わる,230,25,394.9821
風,230,25,394.9821
日,230,25,394.9821
此の間,230,25,394.9821
取れる,230,25,394.9821
県,230,25,394.9821
会議,230,25,394.9821
嫌,239,24,379.1829
色々,239,24,379.1829
より,239,24,379.1829
結局,239,24,379.1829
等,239,24,379.1829
音,239,24,379.1829
師,239,24,379.1829
返る,246,23,363.3836
好き,246,23,363.3836
られる,246,23,363.3836
乗る,246,23,363.3836
方,246,23,363.3836
三十,246,23,363.3836
他,246,23,363.3836
九,246,23,363.3836
蝦,246,23,363.3836
んー,255,22,347.5843
付ける,255,22,347.5843
何方,255,22,347.5843
同じ,255,22,347.5843
色んな,255,22,347.5843
七,255,22,347.5843
無理,255,22,347.5843
や,255,22,347.5843
頃,255,22,347.5843
場合,255,22,347.5843
人,255,22,347.5843
大丈夫,266,21,331.785
