word,rank,freq,pmw
うん,1,8577,70735.2274
だ,2,5617,46323.8629
ね,3,4091,33738.8149
そう,4,3192,26324.6876
の,5,2864,23619.6446
た,6,2701,22275.3701
て,7,2562,21129.0256
,8,2111,17409.5914
も,9,2024,16692.0952
の,10,1938,15982.8461
が,11,1921,15842.6457
で,12,1871,15430.2915
は,13,1832,15108.6553
に,14,1724,14217.9704
か,15,1684,13888.0871
てる,16,1623,13385.0151
と,17,1576,12997.4022
よ,18,1575,12989.1551
って,19,1567,12923.1784
言う,20,1492,12304.6472
です,21,1487,12263.4118
あっ,22,1424,11743.8456
から,23,1390,11463.4448
あの,24,1347,11108.8203
ない,25,1245,10267.6178
何,26,1236,10193.3941
か,27,1206,9945.9816
為る,28,1179,9723.3104
ああ,29,920,7587.316
無い,30,908,7488.351
けれど,31,863,7117.2323
其れ,32,836,6894.561
有る,33,817,6737.8665
の,34,786,6482.2069
良い,35,769,6342.0065
で,36,748,6168.8178
御,37,697,5748.2166
もう,38,690,5690.487
を,39,662,5459.5687
はい,40,632,5212.1562
行く,41,556,4585.3779
さ,42,543,4478.1658
此れ,43,526,4337.9654
ます,44,515,4247.2475
な,45,501,4131.7884
こう,46,496,4090.553
遣る,47,494,4074.0588
私,48,468,3859.6347
成る,49,465,3834.8934
思う,50,462,3810.1522
一寸,51,455,3752.4226
まあ,52,447,3686.4459
矢張り,53,445,3669.9518
ちゃう,54,424,3496.763
其の,55,418,3447.2805
来る,56,412,3397.798
凄い,57,397,3274.0918
さん,58,379,3125.6443
本当,59,372,3067.9147
えっ,60,369,3043.1735
いや,61,365,3010.1851
と,62,351,2894.726
彼れ,63,339,2795.761
人,64,326,2688.5489
ふん,65,314,2589.5839
一,66,306,2523.6073
居る,67,287,2366.9127
事,68,276,2276.1948
今,69,275,2267.9477
時,70,273,2251.4535
ええ,71,270,2226.7123
ほら,72,269,2218.4652
分かる,73,266,2193.724
から,74,257,2119.5002
見る,75,249,2053.5236
つう,76,247,2037.0294
みたい,77,242,1995.794
し,78,221,1822.6053
ちゃん,79,220,1814.3582
違う,80,205,1690.6519
くらい,81,202,1665.9107
食べる,82,201,1657.6636
どう,83,199,1641.1694
えーと,84,198,1632.9224
へえ,85,189,1558.6986
ん,86,188,1550.4515
はあ,87,186,1533.9574
此処,88,183,1509.2161
家,88,183,1509.2161
その,90,172,1418.4982
方,91,169,1393.757
所,92,162,1336.0274
二,93,161,1327.7803
だけ,94,159,1311.2861
け,94,159,1311.2861
ば,96,158,1303.039
十,97,157,1294.792
入る,98,153,1261.8036
皆,99,152,1253.5566
感じ,100,151,1245.3095
其処,100,151,1245.3095
此の,102,150,1237.0624
出来る,103,148,1220.5682
たり,104,146,1204.0741
前,105,145,1195.827
美味しい,105,145,1195.827
れる,107,143,1179.3328
後,108,141,1162.8386
結構,109,140,1154.5916
,110,139,1146.3445
出る,111,135,1113.3562
もの,112,134,1105.1091
彼の,113,133,1096.862
持つ,114,129,1063.8737
自分,114,129,1063.8737
全然,116,125,1030.8853
三,117,122,1006.1441
使う,118,121,997.897
書く,119,120,989.6499
じゃん,120,119,981.4028
まで,121,116,956.6616
此方,121,116,956.6616
年,123,115,948.4145
訳,123,115,948.4145
そんな,125,112,923.6733
駄目,126,108,890.6849
大丈夫,127,107,882.4378
飲む,127,107,882.4378
呉れる,129,106,874.1908
物,130,104,857.6966
回,130,104,857.6966
入れる,132,102,841.2024
何処,133,101,832.9553
や,134,99,816.4612
達,134,99,816.4612
ず,136,98,808.2141
話,136,98,808.2141
様,138,97,799.967
作る,139,96,791.7199
又,139,96,791.7199
貰う,141,95,783.4728
取る,141,95,783.4728
知る,141,95,783.4728
彼処,141,95,783.4728
多分,145,94,775.2258
わ,146,93,766.9787
そんな,147,92,758.7316
とく,147,92,758.7316
所,149,91,750.4845
未だ,149,91,750.4845
買う,151,90,742.2374
何時,152,88,725.7433
たい,153,86,709.2491
良く,154,84,692.7549
子供,154,84,692.7549
子,156,83,684.5079
今日,157,81,668.0137
辺,158,80,659.7666
何,159,78,643.2724
余り,160,76,626.7783
返る,161,75,618.5312
変わる,162,72,593.7899
色んな,163,71,585.5429
気,164,70,577.2958
五,165,68,560.8016
先生,166,67,552.5545
聞く,167,66,544.3075
月,167,66,544.3075
二十,167,66,544.3075
出す,167,66,544.3075
普通,167,66,544.3075
一応,167,66,544.3075
知れる,173,65,536.0604
全部,174,64,527.8133
てく,174,64,527.8133
なんか,176,63,519.5662
昔,176,63,519.5662
日,178,62,511.3191
好き,179,61,503.072
時,180,60,494.825
奴,181,59,486.5779
中,181,59,486.5779
一番,181,59,486.5779
上げる,181,59,486.5779
有り難う,185,58,478.3308
大変,185,58,478.3308
頂く,187,55,453.5895
小さい,187,55,453.5895
四,189,54,445.3425
つ,189,54,445.3425
大きい,189,54,445.3425
人,192,53,437.0954
上,192,53,437.0954
一人,192,53,437.0954
婆,192,53,437.0954
時間,196,52,428.8483
一緒,196,52,428.8483
様,196,52,428.8483
しか,199,51,420.6012
嫌,199,51,420.6012
一杯,199,51,420.6012
最初,199,51,420.6012
六,203,50,412.3541
多い,203,50,412.3541
成る程,205,49,404.107
ずっと,205,49,404.107
タケ,205,49,404.107
られる,208,48,395.86
誰,209,47,387.6129
君,209,47,387.6129
下さる,209,47,387.6129
御座る,209,47,387.6129
風,209,47,387.6129
下,209,47,387.6129
的,215,46,379.3658
済む,215,46,379.3658
付く,215,46,379.3658
ちゃんと,218,45,371.1187
日,218,45,371.1187
見える,218,45,371.1187
あら,218,45,371.1187
名前,218,45,371.1187
方,218,45,371.1187
歳,218,45,371.1187
御免,225,44,362.8716
早い,225,44,362.8716
別,227,43,354.6246
面白い,227,43,354.6246
色々,227,43,354.6246
置く,230,42,346.3775
要る,231,41,338.1304
歩く,231,41,338.1304
水,231,41,338.1304
んー,234,40,329.8833
高い,234,40,329.8833
掛かる,234,40,329.8833
此の間,234,40,329.8833
向こう,234,40,329.8833
味,234,40,329.8833
いえ,234,40,329.8833
あれ,241,39,321.6362
考える,241,39,321.6362
方,241,39,321.6362
御,241,39,321.6362
よいしょ,241,39,321.6362
こんな,246,38,313.3891
止める,246,38,313.3891
仕事,246,38,313.3891
さっき,246,38,313.3891
絶対,250,37,305.1421
物,250,37,305.1421
一,250,37,305.1421
金,250,37,305.1421
掛ける,250,37,305.1421
ほう,250,37,305.1421
そう,256,36,296.895
乗る,256,36,296.895
内,256,36,296.895
直ぐ,256,36,296.895
なんて,256,36,296.895
学校,261,35,288.6479
貴方,261,35,288.6479
忘れる,261,35,288.6479
より,264,34,280.4008
可愛い,264,34,280.4008
元気,264,34,280.4008
母,267,33,272.1537
もっと,267,33,272.1537
御飯,267,33,272.1537
オーケー,267,33,272.1537
難しい,267,33,272.1537
切る,272,32,263.9066
急度,272,32,263.9066
吸う,272,32,263.9066
母,272,32,263.9066
個,276,31,255.6596
日本,276,31,255.6596
分,276,31,255.6596
悪い,276,31,255.6596
ながら,276,31,255.6596
どうぞ,276,31,255.6596
目,276,31,255.6596
中々,276,31,255.6596
分,276,31,255.6596
肉,276,31,255.6596
ジュース,276,31,255.6596
生,287,30,247.4125
せる,287,30,247.4125
パパ,287,30,247.4125
勿論,287,30,247.4125
時代,287,30,247.4125
野菜,287,30,247.4125
川,287,30,247.4125
えー,294,29,239.1654
円,294,29,239.1654
何方,294,29,239.1654
七,294,29,239.1654
昨日,294,29,239.1654
侭,294,29,239.1654
痛い,294,29,239.1654
取り敢えず,294,29,239.1654
易い,294,29,239.1654
ううん,294,29,239.1654
付ける,304,28,230.9183
三十,304,28,230.9183
あー,304,28,230.9183
家,304,28,230.9183
二人,304,28,230.9183
今度,304,28,230.9183
丁度,304,28,230.9183
送る,304,28,230.9183
色,304,28,230.9183
若い,304,28,230.9183
親,304,28,230.9183
かしら,304,28,230.9183
ワイン,304,28,230.9183
んー,317,27,222.6712
終わる,317,27,222.6712
会,317,27,222.6712
奇麗,317,27,222.6712
若し,317,27,222.6712
先,317,27,222.6712
茶,317,27,222.6712
少し,317,27,222.6712
間,317,27,222.6712
系,317,27,222.6712
体,317,27,222.6712
らしい,328,26,214.4241
過ぎる,328,26,214.4241
さ,328,26,214.4241
五十,328,26,214.4241
会社,328,26,214.4241
奥,328,26,214.4241
要する,328,26,214.4241
外,328,26,214.4241
大体,336,25,206.1771
父,336,25,206.1771
友達,336,25,206.1771
トウキョウ,336,25,206.1771
一杯,336,25,206.1771
可笑しい,336,25,206.1771
初めて,336,25,206.1771
木,336,25,206.1771
待つ,344,24,197.93
最近,344,24,197.93
九,344,24,197.93
車,344,24,197.93
何れ,344,24,197.93
目,344,24,197.93
今年,344,24,197.93
頃,344,24,197.93
本,344,24,197.93
因る,344,24,197.93
彼方,344,24,197.93
ああ,344,24,197.93
こそ,344,24,197.93
霰,344,24,197.93
海,344,24,197.93
八,359,23,189.6829
唯,359,23,189.6829
関係,359,23,189.6829
呼ぶ,359,23,189.6829
用,359,23,189.6829
御腹,359,23,189.6829
機,359,23,189.6829
暑い,359,23,189.6829
同じ,367,22,181.4358
無理,367,22,181.4358
