word,rank,freq,pmw
うん,1,0,0.0
だ,1,0,0.0
ね,1,0,0.0
た,1,0,0.0
て,1,0,0.0
の,1,0,0.0
そう,1,0,0.0
の,1,0,0.0
,1,0,0.0
か,1,0,0.0
で,1,0,0.0
が,1,0,0.0
は,1,0,0.0
も,1,0,0.0
に,1,0,0.0
よ,1,0,0.0
と,1,0,0.0
てる,1,0,0.0
って,1,0,0.0
です,1,0,0.0
何,1,0,0.0
言う,1,0,0.0
ない,1,0,0.0
為る,1,0,0.0
か,1,0,0.0
から,1,0,0.0
ああ,1,0,0.0
あっ,1,0,0.0
無い,1,0,0.0
はい,1,0,0.0
あの,1,0,0.0
で,1,0,0.0
良い,1,0,0.0
けれど,1,0,0.0
な,1,0,0.0
其れ,1,0,0.0
有る,1,0,0.0
を,1,0,0.0
の,1,0,0.0
ます,1,0,0.0
もう,1,0,0.0
此れ,1,0,0.0
行く,1,0,0.0
さ,1,0,0.0
まあ,1,0,0.0
遣る,1,0,0.0
御,1,0,0.0
思う,1,0,0.0
成る,1,0,0.0
来る,1,0,0.0
一寸,1,0,0.0
いや,1,0,0.0
事,1,0,0.0
さん,1,0,0.0
えっ,1,0,0.0
ちゃう,1,0,0.0
と,1,0,0.0
彼れ,1,0,0.0
みたい,1,0,0.0
其の,1,0,0.0
こう,1,0,0.0
つう,1,0,0.0
凄い,1,0,0.0
人,1,0,0.0
一,1,0,0.0
居る,1,0,0.0
分かる,1,0,0.0
ええ,1,0,0.0
から,1,0,0.0
,1,0,0.0
見る,1,0,0.0
本当,1,0,0.0
私,1,0,0.0
今,1,0,0.0
ふん,1,0,0.0
どう,1,0,0.0
くらい,1,0,0.0
時,1,0,0.0
じゃん,1,0,0.0
此の,1,0,0.0
矢張り,1,0,0.0
ん,1,0,0.0
ちゃん,1,0,0.0
へえ,1,0,0.0
違う,1,0,0.0
れる,1,0,0.0
方,1,0,0.0
二,1,0,0.0
食べる,1,0,0.0
ば,1,0,0.0
此処,1,0,0.0
し,1,0,0.0
後,1,0,0.0
十,1,0,0.0
感じ,1,0,0.0
だけ,1,0,0.0
その,1,0,0.0
えーと,1,0,0.0
其処,1,0,0.0
たい,1,0,0.0
出来る,1,0,0.0
俺,1,0,0.0
け,1,0,0.0
ず,1,0,0.0
出る,1,0,0.0
三,1,0,0.0
多分,1,0,0.0
入る,1,0,0.0
もの,1,0,0.0
皆,1,0,0.0
奴,1,0,0.0
まで,1,0,0.0
ほら,1,0,0.0
前,1,0,0.0
結構,1,0,0.0
美味しい,1,0,0.0
何処,1,0,0.0
全然,1,0,0.0
貰う,1,0,0.0
話,1,0,0.0
彼の,1,0,0.0
たり,1,0,0.0
取る,1,0,0.0
大丈夫,1,0,0.0
使う,1,0,0.0
持つ,1,0,0.0
様,1,0,0.0
そんな,1,0,0.0
知る,1,0,0.0
此方,1,0,0.0
入れる,1,0,0.0
年,1,0,0.0
訳,1,0,0.0
所,1,0,0.0
書く,1,0,0.0
作る,1,0,0.0
自分,1,0,0.0
所,1,0,0.0
駄目,1,0,0.0
呉れる,1,0,0.0
時,1,0,0.0
五,1,0,0.0
未だ,1,0,0.0
はあ,1,0,0.0
買う,1,0,0.0
や,1,0,0.0
飲む,1,0,0.0
聞く,1,0,0.0
物,1,0,0.0
四,1,0,0.0
回,1,0,0.0
先生,1,0,0.0
達,1,0,0.0
的,1,0,0.0
えー,1,0,0.0
そんな,1,0,0.0
何,1,0,0.0
家,1,0,0.0
わ,1,0,0.0
時間,1,0,0.0
月,1,0,0.0
成る程,1,0,0.0
つ,1,0,0.0
気,1,0,0.0
そう,1,0,0.0
余り,1,0,0.0
円,1,0,0.0
今日,1,0,0.0
二十,1,0,0.0
とく,1,0,0.0
おお,1,0,0.0
んー,1,0,0.0
全部,1,0,0.0
中,1,0,0.0
又,1,0,0.0
別,1,0,0.0
出す,1,0,0.0
彼処,1,0,0.0
普通,1,0,0.0
日,1,0,0.0
良く,1,0,0.0
誰,1,0,0.0
知れる,1,0,0.0
てく,1,0,0.0
あれ,1,0,0.0
有り難う,1,0,0.0
しか,1,0,0.0
何時,1,0,0.0
返る,1,0,0.0
子,1,0,0.0
君,1,0,0.0
人,1,0,0.0
好き,1,0,0.0
一番,1,0,0.0
確か,1,0,0.0
られる,1,0,0.0
六,1,0,0.0
一緒,1,0,0.0
下さる,1,0,0.0
んー,1,0,0.0
待つ,1,0,0.0
嫌,1,0,0.0
僕,1,0,0.0
考える,1,0,0.0
個,1,0,0.0
八,1,0,0.0
済む,1,0,0.0
置く,1,0,0.0
上げる,1,0,0.0
ちゃんと,1,0,0.0
ずっと,1,0,0.0
上,1,0,0.0
多い,1,0,0.0
頂く,1,0,0.0
御免,1,0,0.0
面白い,1,0,0.0
御座る,1,0,0.0
高い,1,0,0.0
絶対,1,0,0.0
一人,1,0,0.0
日本,1,0,0.0
早い,1,0,0.0
万,1,0,0.0
百,1,0,0.0
母,1,0,0.0
生,1,0,0.0
辺,1,0,0.0
大変,1,0,0.0
変わる,1,0,0.0
こんな,1,0,0.0
色々,1,0,0.0
付く,1,0,0.0
一杯,1,0,0.0
学校,1,0,0.0
やばい,1,0,0.0
一応,1,0,0.0
旨い,1,0,0.0
物,1,0,0.0
乗る,1,0,0.0
より,1,0,0.0
最初,1,0,0.0
一,1,0,0.0
止める,1,0,0.0
風,1,0,0.0
付ける,1,0,0.0
何方,1,0,0.0
要る,1,0,0.0
終わる,1,0,0.0
らしい,1,0,0.0
